產品代碼,成分1,成分2,成分3,成分4,成分5,成分6,成分7,成分8,成分9,成分10,成分11,成分12,成分13,成分14,成分15
AF1,雞肉,鮪魚,鮭魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
AF2,雞肉,鮪魚,巴沙魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
AF3,雞肉,鮪魚,雞湯,鮪魚湯,巧達乳酪,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
AF4,雞肉,鮪魚,雞湯,鮪魚湯,南瓜,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
AH1,雞肉絲,雞心,雞肝,雞胗,鮭魚,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
AH2,雞肉絲,雞心,雞肝,雞胗,魚卵,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
AH3,雞肉絲,雞心,雞肝,雞胗,貝類,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
AH4,雞肉絲,雞心,雞肝,雞胗,鵪鶉蛋,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
As1,離胺酸,卵磷脂,鳳梨粉,麥芽糊精,乳糖,牛磺酸,凍乾雞肉粉,,,,,,,,
CB1,雞肉,火雞肉,鴨肉,樹薯,碗豆,鷹嘴豆,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果
CB2,海洋魚,碗豆,樹薯,鷹嘴豆,雞肉,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果,必须礦物質
CG1,羊肉,雞肉,蕃藷,鷹嘴豆,雞脂肪,天然香料,椰子油,甜菜漿,Omega 3,Omega 6,混合魚油,膳食纖維,氯化銨,氯化鉀,完全維生素
CG2,日本食用活性碳,有機蔓越莓,鳳梨粉,麥芽糊精,乳糖,酵母粉,酪酸菌,鼠李糖乳桿菌,牛磺酸,黃地瓜粉,凍乾雞肉粉,,,,
CG3,鱉蛋粉,水解膠原蛋白,卵磷脂,鳳梨粉,麥芽糊精,乳糖,酵母粉,酪酸菌,甘胺酸亞鐵,維生素C,維生素D,凍乾雞肉粉,,,
CK1,雞肉,水,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸,牛磺酸
CK2,雞肉,水,牛肉,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
CK3,雞肉,水,鮭魚,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
CK4,雞肉,水,鵪鶉,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
CP1,土雞肉,甲魚肉,水,甲魚精,洋車前子,牛磺酸,甲魚蛋,雞肝,甲魚油,,,,,,
CP10,鮪魚,鮭魚,增稠劑,維生素E,,,,,,,,,,,
CP11,鮪魚,蝦,增稠劑,維生素,礦物質,,,,,,,,,,
CP8,雞肉,增稠劑,纖維膠,維生素,礦物質,,,,,,,,,,
CP9,(雞肉提取物、牛肝及鮪魚提取物),增稠劑,維生素及礦物質,膠凝劑,牛磺酸,,,,,,,,,,
CS1,鮮雞肉,鮮雞肝,鮮鮭魚,鮮火雞肉,雞肉高湯,火雞肉高湯,鮮鴨,蛋製品,全穀糙米,亞麻籽,燕麥片,胡蘿蔔,豌豆,氯化鉀,鹽
CS2,鮮海魚,雞肉清湯,火雞肉清湯,鮮雞肉,鮮雞肝,全穀糙米,蛋製品,鮮鮭魚,鮮火雞肉,鮮鴨,胡蘿蔔,豌豆,亞麻籽,粉狀纖維素,燕麥片
CS3,鮮雞肉,鮮雞肝,雞肉高湯,火雞肉高湯,鮮鮭魚,鮮火雞肉,鮮鴨,蛋製品,全穀糙米,亞麻籽,燕麥片,胡蘿蔔,豌豆,氯化鉀,鹽
DCS1,鴨肉,雞肉,雞心肝,雞蛋黃,黃蓮花金蜆(含天然牛磺酸及Omega-3),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,
DCS10,高濃度有機褐藻醣膠,"B-1,3-1,6葡聚醣",黑酵母乳鐵蛋白,KT-11捲曲乳桿菌 Lactobacillus crispatus,膳食纖維,,,,,,,,,,
DCS12,蔓越莓萃取物,N-乙醯葡萄糖胺,GABA,玻尿酸,色胺酸,,,,,,,,,,
DCS15,LP28益生菌,Danisco鼠李糖桿菌,神經醯胺,酵母鋅,"B-1,3-1,6葡聚醣",水解膠原蛋白胜肽,生物素,,,,,,,,
DCS2,火雞肉,雞心肝,雞蛋黃,紐西蘭綠貽貝(含天然軟骨素及葡萄糖胺),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,,
DCS20,芽孢乳酸桿菌L.sporogene,比菲德氏龍根菌(B.longum),嗜酸乳桿菌(L.acidophilus),發酵乳桿菌(L.fermentum),瑞士乳桿菌(L.helvetics),副乾酪乳桿菌(L.paracasei),鼠李糖乳菌(L.reuteri),噬熱鏈球菌(Streptococcsthermopls),乳酸菌益源質,酵素,菊苣纖維,膳食纖維,維生素E,,
DCS23,雞肉,雞肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),海藻,磷酸鈣,愛爾蘭海藻鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,"B-1,3-1,6葡聚醣",洋車前子膳食纖維,,,
DCS26,土雞肉,雞肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),朝鮮薊,磷酸鈣,維生素(維生素B、維生素E、維生素D),,有機礦物質,中鍵脂肪酸,美國專利軟骨素,牛磺酸,洋車前子膳食纖維,,
DCS3,草飼牛肉,雞肉,雞心肝,雞蛋黃,紐西蘭綠貽貝(含天然軟骨素及葡萄糖胺),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,
DCS4,雞腿,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),洋車前子膳食纖維,牛磺酸,綜合礦物質,鼠尾草籽,,巴西利,海藻,專利破壁小球藻,天然維生素E,維生素B群,
DCS6,雞胸,雞腿,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),,磷酸鈣,碳酸鈣,維生素(維生素B群、維生素A、維生素E、維生素D),綜合礦物質,牛磺酸,洋車前子膳食纖維,,,
DCS7,雞胸,雞腿,牛肉,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),海藻,薑黃,磷酸鈣,碳酸鈣,維生素(維生素B群、維生素A、維生素E、維生素D),牛磺酸,洋車前子膳食纖維,,
DD1,鰹魚,雞肉,蛤蠣,水,米,維他命E,牛磺酸,離胺酸,,,,,,,
DD2,鰹魚,雞肉,南瓜,水,米,維他命E,牛磺酸,離胺酸,,,,,,,
DRE1,白身魚,貓草,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
DRE2,白身鮪魚,鮮蝦,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
DRE3,白身鮪魚,蔓越莓,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
DRE4,白身鮪魚,小銀魚,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
F1,雞肉,雞肉粉,豌豆,木薯,雞脂肪,啤酒酵母,亞麻仁籽,天然香料,氯化鉀,氯化膽鹼,硫酸鎂,魚油,蔓越莓乾,奇異果,麥盧卡蜂蜜
