產品代碼,品牌代碼,圖片,商品標題,適用年齡,商品種類
AF1,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、鮭魚,成貓,主食罐
AF2,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、巴沙魚,成貓,主食罐
AF3,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、起司,成貓,主食罐
AF4,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、南瓜,成貓,主食罐
AH1,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐國王鮭,成貓,主食罐
AH2,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐魚子醬,成貓,主食罐
AH3,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐貝類,成貓,主食罐
AH4,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐鵪鶉蛋,成貓,主食罐
As1,As,2_15-21-45-36.jpg,【A star】貓專用 高濃度離胺酸－60G 貓保健 貓保健食品 貓咪保健(F952B03),全齡貓,保健食品
CB1,CB,12_15-21-41-45.jpg,貓寶 SS60 天然無穀頂級貓糧 3磅/6磅/22磅 寵物飼料 貓咪飼料 貓飼料 幼貓飼料 成貓飼料 高齡貓飼料 貓糧,老齡貓,飼料
