Pet_ID,紀錄日期,過敏原1,過敏原2,過敏原3,過敏原4,過敏原5,過敏原6,過敏原7,過敏原8,過敏原9,過敏原10
CK1,2020-01-03,,,,,,,,,,
CK1,2020-01-13,,,,,,,,,,
CK1,2020-01-16,,,,,,,,,,
CK1,2020-01-18,,,,,,,,,,
CK1,2020-02-06,,,,,,,,,,
CK1,2020-02-20,,,,,,,,,,
CK1,2020-02-29,,,,,,,,,,
CK1,2020-03-26,,,,,,,,,,
CK1,2020-03-27,,,,,,,,,,
CK1,2020-03-28,,,,,,,,,,
CK1,2020-03-29,,,,,,,,,,
CK1,2020-03-30,,,,,,,,,,
CK1,2020-03-31,,,,,,,,,,
CK1,2020-04-01,,,,,,,,,,
CK1,2020-04-02,,,,,,,,,,
CK1,2020-04-03,,,,,,,,,,
CK1,2020-04-04,,,,,,,,,,
CK1,2020-04-05,,,,,,,,,,
CK1,2020-04-06,,,,,,,,,,
CK1,2020-04-07,,,,,,,,,,
CK1,2020-04-08,,,,,,,,,,
CK1,2020-04-09,,,,,,,,,,
CK1,2020-04-10,,,,,,,,,,
CK1,2020-04-11,,,,,,,,,,
CK1,2020-04-12,,,,,,,,,,
CK1,2020-04-13,,,,,,,,,,
CK1,2020-04-14,,,,,,,,,,
CK1,2020-04-15,,,,,,,,,,
CK1,2020-04-16,,,,,,,,,,
CK1,2020-04-17,,,,,,,,,,
CK1,2020-04-18,,,,,,,,,,
CK1,2020-04-19,,,,,,,,,,
CK1,2020-04-20,,,,,,,,,,
CK1,2020-04-21,,,,,,,,,,
CK1,2020-04-22,,,,,,,,,,
CK1,2020-04-23,,,,,,,,,,
CK1,2020-04-24,,,,,,,,,,
CK1,2020-04-25,,,,,,,,,,
CK1,2020-04-26,,,,,,,,,,
CK1,2020-04-27,,,,,,,,,,
CK1,2020-04-28,,,,,,,,,,
CK1,2020-04-29,,,,,,,,,,
CK1,2020-04-30,,,,,,,,,,
CK1,2020-05-01,,,,,,,,,,
CK1,2020-05-02,,,,,,,,,,
CK1,2020-05-03,,,,,,,,,,
CK1,2020-05-04,,,,,,,,,,
CK1,2020-05-05,,,,,,,,,,
CK1,2020-05-06,,,,,,,,,,
CK1,2020-05-07,,,,,,,,,,
CK1,2020-05-08,,,,,,,,,,
CK1,2020-05-09,,,,,,,,,,
CK1,2020-05-10,,,,,,,,,,
CK1,2020-05-11,,,,,,,,,,
CK1,2020-05-12,,,,,,,,,,
CK1,2020-05-13,,,,,,,,,,
CK1,2020-05-14,,,,,,,,,,
CK1,2020-05-15,,,,,,,,,,
CK1,2020-05-16,,,,,,,,,,
CK1,2020-05-17,,,,,,,,,,
CK1,2020-08-24,,,,,,,,,,
CK1,2020-12-27,,,,,,,,,,
CK1,2021-04-03,,,,,,,,,,
CK1,2021-04-10,,,,,,,,,,
CK1,2021-04-17,,,,,,,,,,
CK1,2021-05-03,,,,,,,,,,
CK1,2021-05-07,,,,,,,,,,
CK1,2021-05-09,,,,,,,,,,
CK1,2021-05-23,,,,,,,,,,
CK1,2021-05-24,,,,,,,,,,
CK1,2021-05-31,,,,,,,,,,
CK1,2021-06-07,,,,,,,,,,
CK1,2021-06-13,,,,,,,,,,
CK1,2021-07-10,玉米,,,,,,,,,
CK1,2021-08-12,玉米,,,,,,,,,
CK1,2021-08-13,玉米,,,,,,,,,
CK1,2021-08-27,玉米,,,,,,,,,
CK1,2021-08-30,玉米,,,,,,,,,
CK1,2021-09-02,玉米,,,,,,,,,
CK1,2021-09-07,玉米,,,,,,,,,
CK1,2021-09-10,玉米,,,,,,,,,
CK1,2021-09-12,玉米,,,,,,,,,
CK1,2021-09-23,玉米,,,,,,,,,
CK1,2021-09-27,玉米,,,,,,,,,
CK1,2021-10-09,玉米,,,,,,,,,
CK1,2021-10-11,玉米,,,,,,,,,
CK1,2021-10-25,玉米,,,,,,,,,
CK1,2021-10-27,玉米,花生,,,,,,,,
CK1,2021-11-01,玉米,花生,,,,,,,,
CK1,2021-11-05,玉米,花生,,,,,,,,
CK1,2021-11-06,玉米,花生,,,,,,,,
CK1,2021-11-15,玉米,花生,,,,,,,,
CK1,2021-11-20,玉米,花生,,,,,,,,
CK1,2021-11-21,玉米,花生,,,,,,,,
CK1,2021-11-29,玉米,花生,,,,,,,,
CK1,2021-12-04,玉米,花生,,,,,,,,
CK1,2021-12-20,玉米,花生,,,,,,,,
CK1,2021-12-31,玉米,花生,,,,,,,,
CK1,2022-01-08,玉米,花生,,,,,,,,
CK1,2022-01-25,玉米,花生,,,,,,,,
CK1,2022-01-27,玉米,花生,,,,,,,,
CK1,2022-02-02,玉米,花生,,,,,,,,
CK1,2022-02-07,玉米,花生,,,,,,,,
CK1,2022-02-09,玉米,花生,,,,,,,,
CK1,2022-02-12,玉米,花生,,,,,,,,
CK1,2022-02-14,玉米,花生,,,,,,,,
CK1,2022-02-17,玉米,花生,,,,,,,,
CK1,2022-02-18,玉米,花生,,,,,,,,
CK1,2022-02-23,玉米,花生,,,,,,,,
CK1,2022-03-11,玉米,花生,,,,,,,,
CK1,2022-04-23,玉米,花生,,,,,,,,
CK1,2022-04-25,玉米,花生,,,,,,,,
CK1,2022-05-16,玉米,花生,小麥,,,,,,,
CK1,2022-06-09,玉米,花生,小麥,,,,,,,
CK1,2022-06-16,玉米,花生,小麥,,,,,,,
CK1,2022-07-12,玉米,花生,小麥,,,,,,,
CK1,2022-07-23,玉米,花生,小麥,,,,,,,
CK1,2022-08-07,玉米,花生,小麥,,,,,,,
CK1,2022-08-12,玉米,花生,小麥,,,,,,,
